"times" "x" "y"
0 0 0
5 107.19231137267 66.7963443458903
10 48.6484471432861 129.391262484564
15 -47.0013271260386 162.618175953011
20 -168.305983960557 210.781124122065
25 -287.823058049766 330.287887685963
30 -405.655419753738 432.447861417082
35 -407.317933852962 615.598257461779
40 -246.770789901088 701.661043555258
45 -35.16055045274 723.549895767172
50 190.924889897748 731.796646596868
55 340.951440587699 698.933263964848
60 416.521843932323 716.096892066584
65 500.969049221243 706.660341684197
70 613.023119976223 743.503027059198
75 659.971382965121 790.827782866899
80 669.931664234112 822.144215961264
85 667.738273536965 875.185678582332
90 675.258606972489 982.658672121226
95 620.751214940086 1014.80424466025
100 594.532890297573 980.980426093029
105 671.0120654325 970.761718714296
110 603.540143471457 978.474672831389
115 502.682052013215 928.033872602654
120 523.11944422985 1009.23967187242
125 590.625071262991 1019.45146595616
130 631.413648121674 963.17266696863
135 626.286505115268 907.052531120698
140 607.453758174961 866.175106216117
145 593.144479170173 828.841389496926
150 675.330149042484 818.334179857946
155 737.61778419328 760.333457694795
160 626.553209685825 752.844243703358
165 584.842921473645 842.940291575465
170 678.96002279017 873.061779155302
175 678.233890239726 926.227986136048
180 654.826646352073 915.519786382008
185 657.074973585218 897.344246838931
190 681.12314429632 878.991337729093
195 643.459623019742 842.04181669292
200 617.723168828023 847.956913157664
205 592.259412461894 806.869022806072
210 611.591028514142 802.264290281655
215 680.53217096614 751.861566649144
220 845.298508231173 708.85148306671
225 1027.57690809804 721.690856984316
230 1220.9094936318 674.851050669374
235 1395.87446380153 590.199196359374
240 1581.83583088537 495.909528094667
245 1758.94189324864 355.273168987126
250 1919.38010855982 328.876014348066
255 2095.20096211531 310.854624452152
260 2267.80479528849 323.559107092734
265 2403.40256824355 332.319349582761
270 2540.77456438485 389.379585802989
275 2637.09486048715 415.711388201127
280 2723.31020985617 517.204419842533
285 2783.48645178938 631.242145731126
290 2814.07745838134 833.35909513806
295 2924.90197793066 988.187482859619
300 3088.66494450358 1143.12554120677
305 3181.638255132 1303.42762350043
310 3277.67600487634 1480.33663400531
315 3343.73597636164 1675.11382515702
320 3443.88799053866 1870.31600009541
325 3448.48546400361 2052.0065814964
330 3465.90595325698 2215.37426141556
335 3400.99946612198 2230.25162415136
340 3312.85340592226 2238.57891608942
345 3385.79444324621 2225.9659036726
350 3474.52554516786 2233.53014898569
355 3538.10885431246 2243.67749328658
360 3541.39006559895 2214.70870857627
365 3520.94058909794 2271.24276852975
370 3548.28851376735 2291.03562686967
375 3565.57514185325 2336.8108547407
380 3608.29004154307 2371.43536059319
385 3614.57831546175 2324.92102912829
390 3608.78782175469 2238.65660853536
395 3545.60598250124 2324.77144110812
400 3490.65067311266 2415.92526498189
405 3506.76695698162 2370.12638978123
410 3451.75983743407 2332.57330758825
415 3464.97380456418 2389.1359879032
420 3453.47099930976 2460.26076763146
425 3422.08126373659 2461.17848721148
430 3396.4848124884 2478.56301402045
435 3328.97814241769 2488.01029543279
440 3388.82593156858 2455.34662997164
445 3455.86803382903 2404.85825286721
450 3549.99466956077 2375.06646971897
455 3584.56983857709 2423.75990437171
460 3553.87609087044 2472.64695162519
465 3545.04538659152 2552.88046116194
470 3560.04085997231 2700.89573100266
475 3515.24105635382 2867.00602462378
480 3432.70385813005 3031.27672753758
485 3235.41553423323 3106.76159499286
490 3048.93917316409 3193.53704650016
495 2823.3081194827 3197.51606995883
500 2622.96420135187 3276.29684356293
505 2512.0518586712 3360.19630590655
510 2399.93561606924 3314.30659689421
515 2290.70951619406 3250.08653231986
520 2177.63200949935 3188.87597044207
525 2095.44948358727 3170.8185935181
530 2033.87347685802 3189.90582978441
535 1899.91754160224 3226.97010847564
540 1713.18754843953 3221.1445558616
545 1511.36888352899 3264.57663433699
550 1426.62003425202 3370.92438662465
555 1409.46487846856 3470.65790189292
560 1403.64190519771 3439.37917937816
565 1440.24948984036 3514.49616366399
570 1428.62066620075 3586.11437487904
575 1511.45016674426 3565.55687070593
580 1411.98647247956 3594.89947399509
585 1327.27761919795 3588.07202772761
590 1269.62618466634 3626.02072628529
595 1339.49608971358 3630.27633462082
600 1410.66721766916 3592.14320251352
605 1344.24766930815 3596.64617375083
610 1255.22717596658 3622.51458713877
615 1196.44358722978 3578.22933954766
620 1296.38669931779 3625.51271436525
625 1373.58180776714 3653.32434240384
630 1328.57728632261 3706.33679855327
635 1346.19875700799 3773.29838441816
640 1448.80629676536 3808.09212867918
645 1481.34686757342 3762.97995138342
650 1495.31935388801 3773.70319405195
655 1529.67296479859 3785.83054001334
660 1541.76784778435 3770.18606914302
665 1534.33764190899 3776.48220582989
670 1560.83135073895 3798.59990225476
675 1519.40270246075 3803.51593262286
680 1533.72054629336 3754.91655027057
685 1591.76749193485 3747.92040781139
690 1670.69584422512 3719.67974514205
695 1709.46822352492 3694.17025726652
700 1724.13247041655 3714.56212265528
705 1720.04262238677 3747.97996007854
710 1711.87678630279 3738.04300153659
715 1762.10510328128 3706.84540882421
720 1717.81706822487 3697.62885685497
725 1675.31180344622 3646.50268516789
730 1696.17592818754 3678.73991191539
735 1778.7270077607 3675.34383277286
740 1855.83798496793 3587.74537523963
745 1935.96701811962 3512.69819517966
750 2044.89671691472 3469.55727255752
755 2057.00795015779 3371.19623429772
760 2039.3833738748 3450.70575817819
765 2088.24651384372 3350.40565487069
770 2154.27344797994 3423.44685619566
775 2169.78938702053 3370.89540405805
780 2166.49114792305 3329.0093714772
785 2182.67001673595 3331.37079219708
790 2163.47113470936 3344.78460888443
795 2110.75828959484 3352.61733306878
800 2077.24597232222 3351.74152931235
805 2068.76996045381 3337.77946249626
810 2046.95777531136 3361.69514559954
815 2033.99405278192 3352.29565701539
820 2085.40933670471 3312.25825009299
825 2146.23454815489 3288.43516094015
830 2192.25073624299 3341.79965805347
835 2242.66490654135 3267.52172954957
840 2230.60696946477 3295.66430855605
845 2218.94659176377 3365.97621481204
850 2193.4761313692 3469.15080534564
855 2126.52117215629 3544.73886078403
860 2078.34049646678 3686.7157754466
865 2018.12160715801 3609.10698396912
870 2049.5789058688 3649.2661699886
875 2129.63138854819 3745.48493641518
880 2099.77402926107 3674.28529051306
885 2077.09135981009 3750.6624848845
890 2113.269228346 3815.89977024147
895 2026.6813834674 3844.38036918998
900 1946.23109643406 3862.14199016417
905 1880.35136928328 3948.662543688
910 1933.51015496336 4019.65947002425
915 2016.54647421063 4000.25561745962
920 2003.42157079951 3903.47473018818
925 1999.97488145024 3799.67982652243
930 1981.78258708767 3654.9120895965
935 1882.57518579664 3464.07840455278
940 1782.76446599344 3238.08964811801
945 1732.81014241435 3029.21972670271
950 1610.76392832473 2829.16972760256
955 1394.06644466876 2785.29450071362
960 1195.62747875983 2927.38135976149
965 1047.16457632002 3077.19703032267
970 898.209368785134 3220.91788734953
975 752.502914246139 3314.67375217518
980 568.320423495793 3298.48735057481
985 381.597234294778 3292.98137910142
990 259.06339450248 3352.44530126693
995 170.417425369664 3454.8545150131
1000 71.5759006422687 3539.99386966729
