"x" "y" "times"
698060.283625139 7224349.65490361 0
698061.427784041 7224333.71361041 2
698053.953291188 7224312.72626285 4
698072.33477271 7224291.60458835 6
698074.796443762 7224275.93777123 8
698080.842538469 7224264.23550499 10
698068.870136087 7224254.12278334 12
698041.092368043 7224298.27009938 14
698015.742867205 7224331.96381603 16
697934.335606163 7224423.93400544 18
697939.443878169 7224483.87610935 20
697967.171687739 7224501.56026842 22
697975.245475139 7224511.22600825 24
697965.080520345 7224556.36489909 26
697927.102099116 7224645.091289 28
697884.376987909 7224702.58234348 30
697869.352773218 7224706.42134783 32
697812.948491648 7224697.0667362 34
697793.538534477 7224713.65084859 36
697751.710123144 7224750.71627323 38
697736.974556705 7224829.07555942 40
697722.071792234 7224878.18256563 42
697686.880420123 7224915.8777096 44
697726.832375983 7224886.88168709 46
697755.133277411 7224879.45817848 48
697784.516433562 7224898.1826116 50
697841.998583688 7224888.98355097 52
697921.067009439 7224885.88409182 54
697957.693470545 7224873.80481516 56
697966.691367327 7224917.80241778 58
697995.804267542 7224956.99878242 60
698061.4034983 7224974.42215392 62
698067.615489925 7224984.89539028 64
698069.008961956 7225003.98608704 66
698096.135929159 7224973.01965703 68
698082.487022684 7224978.62591439 70
698075.63433888 7224963.639752 72
698064.193072608 7224932.70164653 74
698056.613675743 7224880.41636569 76
698059.105882636 7224827.87352668 78
698078.520663361 7224781.86331796 80
698072.458954278 7224792.63310521 82
698114.15817736 7224746.99585262 84
698120.336269666 7224747.40911483 86
698135.451071403 7224701.11152672 88
698128.669790188 7224737.90880105 90
698177.047657468 7224755.67241457 92
698157.928613029 7224797.23162903 94
698152.536823866 7224824.9953629 96
698140.527909966 7224930.54281303 98
