"times" "x" "y"
0 -2.06044528424799 1.1809904297073
2 7.09709124978339 6.38582582661
4 -26.7109285084158 13.8942653107608
6 -16.2521706696598 -16.8321892007677
8 26.3826411914889 -16.8794558086995
10 5.95711971482301 14.4853421325675
12 -2.53628092842587 56.3759153843257
14 -12.8650085071901 77.4262317476578
16 -16.5594125316972 104.199980861781
18 -17.9874245330281 126.656917926644
20 -53.1019545290343 141.909762855929
22 -69.801420234477 183.737388948724
24 -102.969440459852 200.404164623028
26 -107.294622705871 167.932533428075
28 -78.9690101047816 198.052867388585
30 -137.273178013755 162.206854672238
32 -162.52905403337 70.6716023971463
34 -145.600437087579 35.7330771396492
36 -168.342081911425 -6.66948892590944
38 -136.488171542352 -23.0211722315577
40 -138.068721523598 -61.9048580504608
42 -135.676740476405 -72.1792362020771
44 -156.030162687365 -85.5489559127659
46 -158.349526284374 -65.1340010505588
48 -182.496093370969 -33.0486170325629
50 -191.225189194987 -7.00345979801835
52 -192.917977420444 21.712421353768
54 -183.187544248 30.2677094666394
56 -225.744053832615 58.6712387463443
58 -250.780177220191 24.9728138706493
60 -256.980495393912 -17.9714235115039
62 -286.221704588378 -53.5851443020803
64 -309.01088384695 -100.138685697745
66 -334.747856419143 -91.0747703829977
68 -366.099260579774 -77.8937713051479
70 -370.135254707598 -29.3686050547324
72 -386.032278395622 12.7020059049055
74 -413.70507396193 11.1007505421447
76 -462.396596442389 -4.29449970168201
78 -495.809567295171 -8.70514325319391
80 -510.396243408492 1.47524671918848
82 -526.434190596731 20.9839159067604
84 -516.043051286111 19.6839891818906
86 -492.168062361549 9.5375056827044
88 -469.709519212886 -25.0621016932068
90 -506.574200760822 -25.3073604903615
92 -527.879905649936 -17.5542250771347
94 -578.257800750255 -35.9891058362047
96 -621.640301651886 -42.6748649142546
98 -639.791541211456 4.06669983395199
100 -650.296601082977 36.2839745260818
102 -641.028324040725 70.8772653129667
104 -628.228424243307 81.4879123672381
106 -616.499684205604 29.5846657504925
108 -590.80375518403 40.9787858950934
110 -578.429158481082 58.1416419661081
112 -566.706653717679 64.3382296407985
114 -533.115263118342 52.1769022207475
116 -522.750405766533 96.3206582163541
118 -537.470803753627 117.198535749251
120 -550.806138186851 138.96490757711
122 -557.859351304205 168.068411779307
124 -579.579837011161 184.886731669947
126 -634.442695064226 186.77140680145
128 -693.889067895827 212.972282001085
130 -713.931570951952 187.429063031007
132 -713.858822522535 167.715815218327
134 -713.226685996055 149.108372635822
136 -738.644863308561 175.703686391118
138 -702.631945893311 187.720566989807
140 -696.055063233015 230.893045282074
142 -678.360619640032 268.280477042946
144 -620.411771481826 281.596911129594
146 -575.458808231963 296.829247256855
148 -529.46014871187 253.739265238204
150 -477.16194227735 275.620242631758
152 -516.33993176965 317.702605826955
154 -599.379526410241 347.375938700975
156 -620.432744580149 312.087880479565
158 -582.876235817739 349.860010607468
160 -536.343921434304 369.695685146531
162 -482.207110299477 382.255550856312
164 -447.563361095544 360.296000134121
166 -385.875631466597 357.741911043412
168 -360.549455910501 371.763045116833
170 -356.283587061976 424.28773517715
172 -322.888939470882 462.066321889445
174 -335.481424643279 509.383380992486
176 -372.772001365904 507.16434872871
178 -402.197256573503 546.150787911308
180 -452.629770961042 511.853217793251
182 -410.860145419446 446.803596981858
184 -358.988407899792 365.367004475789
186 -293.064629810234 297.805070758403
188 -261.150704910012 253.761638901421
190 -224.525638748978 203.854645841734
192 -207.401346812143 150.535490731037
194 -254.559766398274 125.453804354839
196 -292.095191205783 109.321237912631
198 -329.552407915139 110.831652047838
200 -357.531070552219 62.8222902257576
202 -368.343513709446 39.3313297158096
204 -394.335903951514 20.429728165051
206 -405.55175738887 -16.5638655688762
208 -403.937843408412 -38.4689103542722
210 -430.833597342399 -82.1701571959163
212 -409.054183935531 -113.951807921202
214 -403.263091042617 -151.796173016114
216 -404.380319093096 -183.344380171614
218 -429.279888093831 -199.450215145534
220 -452.61105461477 -186.660902938154
222 -449.856488056602 -147.315054072537
224 -425.784126802265 -138.646451570713
226 -376.705624218797 -121.4020125415
228 -324.844577393034 -104.273629225809
230 -290.763801625098 -113.385750291152
232 -243.68282704791 -114.409269653633
234 -285.851206221736 -154.011808525355
236 -317.359759914112 -142.928461434179
238 -330.456644880026 -101.614316984145
240 -326.18261529645 -37.7143636952763
242 -268.865181504577 -72.2267638735302
244 -290.405695338474 -144.86531499826
246 -286.412604118169 -201.005912523971
248 -314.375772143087 -231.913301970943
250 -328.795017520239 -209.154269444477
252 -322.050574526435 -187.860809699458
254 -340.611791718811 -159.277048420686
256 -345.144678182878 -136.434888001686
258 -363.748004401746 -147.997749905643
260 -373.802444049102 -146.181258639154
262 -375.38854808295 -150.559084896721
264 -368.842298655945 -153.696868068495
266 -364.157553237846 -163.931176688616
268 -348.209213131661 -202.11222711923
270 -320.278224303396 -209.318458272677
272 -344.634219934921 -229.807564864945
274 -376.947495499474 -246.432416242805
276 -368.803471905828 -277.706097722166
278 -336.104638134238 -289.836254491115
280 -301.242878915051 -316.393252349418
282 -263.973134814135 -279.725289914418
284 -227.127213014497 -262.295095540153
286 -235.028953683621 -238.572631092186
288 -267.395496424233 -233.780780169839
290 -246.028067940369 -188.495318260055
292 -241.601192748266 -161.543910313577
294 -301.462127466568 -155.163191879725
296 -333.621588837649 -106.672249381326
298 -349.736840478887 -74.3063083127182
300 -377.874788379013 -30.4817150582272
302 -433.549953524947 -42.4429350485375
304 -442.756276873743 -76.5703704915911
306 -453.691557463796 -113.63387912815
308 -442.451071890404 -158.511275864527
310 -439.614764184996 -207.701685969469
312 -441.501053467258 -232.184598317087
314 -480.175171967136 -266.548850604895
316 -464.613293623938 -302.471650717671
318 -484.177152904821 -338.90002029664
320 -525.7525713481 -364.494423891362
322 -572.58270237155 -320.758305375826
324 -533.679824262195 -300.475611132324
326 -519.938858485754 -316.339072720894
328 -457.126640319432 -328.069665882907
330 -447.110347802427 -348.957514178989
332 -472.126470807982 -340.878079961084
334 -443.672402151578 -314.832565158581
336 -455.844928117527 -296.036308106939
338 -463.891824131329 -277.41243747337
340 -451.259711094886 -265.47374178283
342 -456.131898782409 -254.605795009406
344 -451.3010972866 -260.609768474957
346 -466.191629534021 -264.189730492289
348 -498.801510319651 -261.193399336542
350 -507.598187442571 -265.289236543671
352 -548.271024429945 -238.498611461312
354 -588.861088049145 -258.247022987973
356 -575.543680826194 -295.841067076198
358 -544.609057414606 -335.886112168908
360 -579.528916605627 -324.464660365793
362 -605.606948890449 -296.452788488448
364 -654.320490033259 -299.096400322129
366 -701.755849337508 -248.877255019221
368 -728.307506346167 -207.195457267831
370 -758.350650863432 -192.806241791444
372 -795.789027781746 -256.418336040552
374 -827.536900049264 -302.23476266812
376 -851.360557029378 -309.075667543092
378 -864.161828538545 -269.728602466234
380 -878.253586201847 -271.05700075192
382 -894.341255820603 -279.012566035932
384 -891.022887751917 -277.647416154586
386 -886.777905478848 -308.866856209586
388 -878.913409763312 -330.609818347846
390 -875.11920306639 -378.262116027474
392 -888.028038222502 -387.295377494469
394 -906.852758871069 -382.898692674152
396 -914.728389967336 -361.9598177673
398 -915.036897880061 -338.064267194469
400 -926.580239109922 -333.310680289898
