"times" "x" "y"
0 0 0
2 -0.977001354449405 13.1190914928185
4 -10.9927804803017 8.94745054716189
6 -6.79698125728983 -16.4227028859785
8 22.730529028886 -18.4990897980034
10 -0.123030595746001 12.9291756812604
12 -3.25450703210385 50.2737960553583
14 -9.95530118588506 81.5077426955945
16 -13.5857443818911 109.310458440217
18 -15.516069233304 133.148836383537
20 -51.7220781388243 139.063456627699
22 -71.03304092437 175.662942560411
24 -106.319584805113 206.512916715754
26 -104.249181336115 167.041326183833
28 -85.824494251532 199.082298775099
30 -137.564769392049 154.929332510504
32 -149.115948706881 82.6525794722189
34 -153.065621265019 29.7435836200894
36 -161.271351528518 1.98078614463044
38 -143.047143442172 -29.7584449682939
40 -132.236968939098 -55.2596818918177
42 -139.292721720007 -67.7340604397054
44 -152.726232081275 -76.7221457767161
46 -155.315298900208 -56.8976832771833
48 -174.742892749522 -28.7085626024932
50 -190.465410684521 -2.11880044074148
52 -189.180675697011 18.6197976063644
54 -195.789480342738 32.0912196590508
56 -228.322485948482 48.3239165672867
58 -254.042446092955 29.6626911326118
60 -256.267343324259 -15.7898963763174
62 -283.21632021138 -51.1817562053534
64 -307.668407506693 -93.1399447563476
66 -339.35992798057 -96.024549960346
68 -370.127583551892 -74.9367674019011
70 -375.778346624943 -30.0986745299208
72 -380.207621884599 7.84855792249509
74 -416.591767661275 7.03793041113987
76 -460.131307074565 -7.12878068864937
78 -493.301816588609 -3.86949618649298
80 -511.798918881542 6.1232748849718
82 -522.748238621088 25.2590660476141
84 -510.471040468084 22.0740583875598
86 -491.295282350821 3.28590125858884
88 -475.032619378175 -18.9378843490038
90 -500.03703947065 -26.8707457926627
92 -533.929974251713 -16.2600383197026
94 -578.411340110029 -38.5605622135773
96 -624.191867067316 -32.9082857678905
98 -642.298096879532 2.01224996424075
100 -650.707630069721 36.6666969822939
102 -639.274124389484 71.2512602292241
104 -627.693021025645 74.7073085369912
106 -615.078956065675 30.0483335934473
108 -591.856961019532 41.8398971405939
110 -581.353800800473 59.1046847419079
112 -560.224437301776 65.0922996712116
114 -540.372686394796 60.4789204689449
116 -524.432169639986 86.9722548124308
118 -539.488193930237 117.712738600379
120 -555.501675109015 134.775753891633
122 -562.703890184637 153.98288717616
124 -581.631349100434 181.422614057714
126 -633.051440085309 181.405099951573
128 -684.480699641039 211.381077937422
130 -713.541674017576 181.230587232531
132 -718.647072393411 161.155631476812
134 -714.840376144872 149.384751096134
136 -737.163318498023 174.006999677612
138 -708.301978385167 196.848879009577
140 -702.617203565119 237.780625173131
142 -681.122524335779 272.93669139091
144 -621.390587720278 281.907544301906
146 -577.68017367056 297.661903884917
148 -520.151617325439 256.324947798134
150 -480.186820464166 277.641086652643
152 -509.21641322529 329.351633297267
154 -597.346961399617 341.22430928696
156 -622.503219659493 307.998428981905
158 -588.251226389399 344.191477911786
160 -537.81655437382 368.566602785621
162 -489.137833637483 381.312546302959
164 -450.03604581078 362.429376990575
166 -392.306207032959 359.376173873383
168 -356.03955112836 373.597989430396
170 -354.316142727155 422.989702020804
172 -319.346508139476 461.286677465608
174 -336.224519416272 506.18775146824
176 -371.124159052529 516.323644278091
178 -409.526299306649 544.51310213867
180 -454.995294022645 508.26182617801
182 -413.931721266167 437.068729809703
184 -350.189970981901 370.885473726376
186 -296.409676503029 311.955000276838
188 -254.029536042106 253.021059677496
190 -229.270732276286 195.08661547938
192 -203.962281371318 150.272627616199
194 -247.446940351797 134.705781331875
196 -291.287497081875 119.588835899328
198 -328.261733087525 104.743577970044
200 -356.131527173776 70.9886271547698
202 -371.415973707513 38.0032133530634
204 -398.714103246744 16.1741268828333
206 -407.231120577684 -12.907227897276
208 -414.317809244136 -37.4427760107947
210 -423.830574396178 -74.1871088468056
212 -406.96224877275 -114.696442053826
214 -405.021877927626 -151.938059833358
216 -409.558821192213 -184.437358664175
218 -425.527585449662 -192.710964664942
220 -451.187428358528 -182.340789692836
222 -447.68032996939 -150.368989556169
224 -419.554293050381 -138.825747306472
226 -380.086537380991 -116.334997667978
228 -325.709812809966 -110.542642000007
230 -284.35345419072 -115.395107125041
232 -246.927699967116 -115.578597229465
234 -279.287693333397 -153.863878161256
236 -314.456377905048 -138.471600865143
238 -337.061445162819 -94.5571117139978
240 -322.202560363157 -43.4096593174679
242 -274.421437740045 -75.8560423174779
244 -288.549204690847 -147.528286590201
246 -289.784541620127 -197.765664970606
248 -315.55878021171 -225.522105192418
250 -326.428010358181 -214.157534037113
252 -317.163603161122 -186.342796003248
254 -332.970106486036 -158.325440411013
256 -354.565966160683 -147.061056688472
258 -361.887574971034 -153.537774989883
260 -369.089421938533 -148.942194000874
262 -374.551598827853 -150.961540591285
264 -368.600395609723 -159.143569596154
266 -361.361309678535 -169.693069293179
268 -347.142818422363 -190.781923435489
270 -330.140094993209 -200.309057611423
272 -340.50366345299 -231.562363326637
274 -375.183852177017 -241.626440350731
276 -369.122563679095 -272.155900445745
278 -334.997880887288 -287.198126145569
280 -298.634664473995 -308.603257428104
282 -257.450496595279 -273.586282996401
284 -218.040681098604 -262.830315026889
286 -232.715134141317 -243.416916807808
288 -270.063091884244 -225.34509521001
290 -247.825370503703 -191.863098744151
292 -238.406404492011 -164.765930811213
294 -296.151598358033 -157.905105378518
296 -324.426256191014 -102.489777120504
298 -358.138148435293 -70.9625600770508
300 -382.239625198174 -26.4090790382958
302 -427.838725411701 -40.2911266106171
304 -453.07423203052 -71.4903430862522
306 -457.549942866625 -108.617782021437
308 -444.661188082506 -161.891846642478
310 -439.503034419115 -208.249182443524
312 -446.419747418773 -239.382947934242
314 -482.290326873396 -264.692210915492
316 -457.455501797257 -303.431330097429
318 -485.901000928363 -337.957214775308
320 -524.403918472318 -356.139222632759
322 -568.104313831138 -318.680471941966
324 -545.22670775707 -299.593216933491
326 -516.744151650844 -320.863209924827
328 -458.676394892342 -331.756395131456
330 -445.368020747505 -360.616510412594
332 -471.479300796344 -338.621081989368
334 -448.577169296233 -318.088116834123
336 -450.947701577691 -301.163365071306
338 -457.249252641671 -279.199457267833
340 -451.728180598471 -264.819610870273
342 -449.42773454035 -251.339581537314
344 -445.314105595402 -259.399988942815
346 -465.399777201569 -259.864133231116
348 -490.978020538882 -264.134047411618
350 -509.153150098869 -259.172595336916
352 -546.064720311078 -237.728526074359
354 -594.528888335428 -251.499216547273
356 -570.227450423494 -299.085205725793
358 -541.304223976478 -333.073418906556
360 -572.715877484444 -326.990142362219
362 -605.951973795531 -314.206220274444
364 -651.169783312138 -303.702961656355
366 -704.513659923012 -251.711706202882
368 -729.597331729224 -205.555976421658
370 -770.619429600184 -188.666760498848
372 -801.369927470181 -250.149497532103
374 -823.421204656984 -291.861926204038
376 -847.227748323205 -304.7099527791
378 -865.506608165442 -274.849136518861
380 -876.380822511401 -271.070436010001
382 -892.014545965071 -274.345808194996
384 -894.745011780157 -282.220353504762
386 -884.29627619031 -311.284467511954
388 -875.042884030467 -342.012120075789
390 -880.871381016054 -370.859460663514
392 -888.028790579347 -383.961339362117
394 -906.774902170419 -380.164233880077
396 -914.790807485735 -366.113604423453
398 -914.865643794848 -343.5678259563
400 -919.751003055188 -334.02704642332
